time,V(in),V(a),V(out),I(V1)
0.000198,5,3.539643207,5.259234957,-0.02920713586
0.0002,5,3.557240258,5.316945347,-0.02885519484
0.000202,5,3.575227347,5.373936253,-0.02849545306
0.000204,5,3.593593339,5.430192519,-0.02812813323
0.000206,5,3.612327062,5.485699437,-0.02775345875
0.000208,5,3.631417317,5.540442744,-0.02737165367
0.00021,5,3.650852874,5.594408629,-0.02698294252
0.000212,5,3.670622487,5.64758373,-0.02658755027
0.000214,5,3.690714889,5.699955134,-0.02618570222
0.000216,5,3.711118805,5.751510382,-0.0257776239
0.000218,5,3.73182295,5.802237464,-0.025363541
0.00022,5,3.752816038,5.852124822,-0.02494367924
0.000222,5,3.774086784,5.901161351,-0.02451826433
0.000224,5,3.795623908,5.949336395,-0.02408752183
0.000226,5,3.817416144,5.996639749,-0.02365167711
0.000228,5,3.839452239,6.043061659,-0.02321095523
0.00023,5,3.861720957,6.088592821,-0.02276558085
0.000232,5,3.88421109,6.133224377,-0.0223157782
0.000234,5,3.906911455,6.176947919,-0.0218617709
0.000236,5,3.929810901,6.219755483,-0.02140378199
0.000238,5,3.952898313,6.261639551,-0.02094203374
0.00024,5,3.976162617,6.302593046,-0.02047674765
0.000242,5,3.999592783,6.342609335,-0.02000814434
0.000244,5,4.023177827,6.381682222,-0.01953644346
0.000246,5,4.046906818,6.419805949,-0.01906186364
0.000248,5,4.070768881,6.456975194,-0.01858462238
0.00025,5,4.0947532,6.493185066,-0.018104936
0.000252,5,4.118849021,6.528431105,-0.01762301959
0.000254,5,4.143045657,6.562709279,-0.01713908686
0.000256,5,4.167332492,6.596015979,-0.01665335016
0.000258,5,4.191698982,6.62834802,-0.01616602036
0.00026,5,4.216134662,6.659702633,-0.01567730676
0.000262,5,4.240629145,6.690077467,-0.0151874171
0.000264,5,4.26517213,6.719470582,-0.01469655741
0.000266,5,4.2897534,6.747880446,-0.014204932
0.000268,5,4.314362831,6.775305933,-0.01371274338
0.00027,5,4.33899039,6.801746317,-0.01322019219
0.000272,5,4.363626142,6.827201272,-0.01272747717
0.000274,5,4.388260248,6.851670862,-0.01223479504
0.000276,5,4.412882974,6.875155543,-0.01174234053
0.000278,5,4.437484688,6.897656155,-0.01125030624
0.00028,5,4.462055869,6.91917392,-0.01075888263
0.000282,5,4.486587102,6.939710436,-0.01026825796
0.000284,5,4.511069088,6.959267673,-0.009778618242
0.000286,5,4.535492641,6.977847967,-0.009290147177
0.000288,5,4.559848694,6.995454019,-0.008803026112
0.00029,5,4.5841283,7.012088887,-0.008317433995
0.000292,5,4.608322634,7.027755982,-0.007833547325
0.000294,5,4.632422994,7.042459062,-0.007351540111
0.000296,5,4.656420809,7.05620223,-0.006871583827
0.000298,5,4.680307632,7.068989925,-0.006393847368
0.0003,5,4.704075149,7.080826919,-0.005918497014
0.000302,5,4.727715181,7.091718312,-0.005445696388
0.000304,5,4.751219679,7.101669524,-0.004975606419
0.000306,5,4.774580735,7.110686295,-0.004508385307
0.000308,5,4.797790576,7.118774672,-0.004044188488
0.00031,5,4.82084157,7.125941009,-0.0035831686
0.000312,5,4.843726227,7.13219196,-0.003125475454
0.000314,5,4.8664372,7.137534472,-0.002671255999
0.000316,5,4.888967285,7.141975781,-0.0022206543
0.000318,5,4.911309425,7.145523404,-0.001773811504
0.00032,5,4.933456709,7.148185135,-0.001330865819
0.000322,5,4.955402376,7.14996904,-0.0008919524861
0.000324,5,4.977139812,7.150883448,-0.0004572037589
0.000326,5,4.998662556,7.150936946,-2.674888098e-05
0.000328,5,5.019964297,7.150138374,0.0003992859344
0.00033,5,5.041038876,7.148496819,0.0008207775229
0.000332,5,5.061880289,7.146021607,0.001237605786
0.000334,5,5.082482685,7.1427223,0.001649653709
0.000336,5,5.102840369,7.138608685,0.002056807373
0.000338,5,5.122947798,7.133690773,0.002458955967
0.00034,5,5.14279959,7.127978789,0.002855991807
0.000342,5,5.162390517,7.121483169,0.003247810338
0.000344,5,5.181715507,7.114214548,0.003634310146
0.000346,5,5.200769648,7.106183762,0.004015392969
0.000348,5,5.219548185,7.097401835,0.004390963699
0.00035,5,5.238046519,7.087879974,0.00476093039
0.000352,5,5.256260213,7.077629566,0.00512520426
0.000354,5,5.274184985,7.066662166,0.005483699696
0.000356,5,5.291816713,7.054989498,0.005836334254
0.000358,5,5.309151433,7.042623441,0.006183028655
0.00036,5,5.32618534,7.029576027,0.006523706793
0.000362,5,5.342914786,7.015859436,0.006858295722
0.000364,5,5.359336283,7.001485984,0.007186725663
0.000366,5,5.375446499,6.986468124,0.007508929988
0.000368,5,5.391242261,6.970818434,0.007824845222
0.00037,5,5.406720552,6.954549612,0.008134411034
0.000372,5,5.421878511,6.937674471,0.008437570226
0.000374,5,5.436713436,6.920205934,0.008734268726
0.000376,5,5.451222779,6.902157023,0.009024455574
0.000378,5,5.465404146,6.883540857,0.009308082917
0.00038,5,5.479255299,6.864370645,0.009585105986
0.000382,5,5.492774155,6.844659679,0.009855483091
0.000384,5,5.50595878,6.824421327,0.0101191756
