time,V(in),V(out),I(V1)
0.00206,1.374762629,0.7869063933,-0.0005878562358
0.00208,1.497379774,0.9053186235,-0.0005920611508
0.0021,1.618033989,1.024104518,-0.000593929471
0.00212,1.736249105,1.142795282,-0.0005934538231
0.00214,1.851558583,1.260922499,-0.000590636084
0.00216,1.963507348,1.378019974,-0.0005854873742
0.00218,2.07165359,1.493625577,-0.0005780280133
0.0022,2.175570505,1.607283065,-0.00056828744
0.00222,2.274847979,1.718543884,-0.0005563040957
0.00224,2.369094212,1.826968938,-0.0005421252734
0.00226,2.457937255,1.932130325,-0.0005258069303
0.00228,2.541026486,2.033613018,-0.0005074134675
0.0023,2.618033989,2.131016513,-0.0004870174756
0.00232,2.688655851,2.223956403,-0.0004646994482
0.00234,2.75261336,2.312065896,-0.0004405474644
0.00236,2.809654105,2.394997264,-0.0004146568411
0.00238,2.859552972,2.472423215,-0.0003871297566
0.0024,2.902113033,2.544038185,-0.0003580748478
0.00242,2.937166322,2.609559541,-0.0003276067812
0.00244,2.964574501,2.668728701,-0.0002958458004
0.00246,2.984229403,2.721312151,-0.0002629172513
0.00248,2.996053457,2.767102369,-0.0002289510879
0.0025,3,2.805918641,-0.0001940813592
0.00252,2.996053457,2.837607777,-0.0001584456801
0.00254,2.984229403,2.862044714,-0.0001221846882
0.00256,2.964574501,2.879133012,-8.544148919e-05
0.00258,2.937166322,2.888805231,-4.836109166e-05
0.0026,2.902113033,2.891023198,-1.108983499e-05
0.00262,2.859552972,2.88577816,2.622518818e-05
0.00264,2.809654105,2.873090817,6.343671252e-05
0.00266,2.75261336,2.853011241,0.0001003978811
0.00268,2.688655851,2.825618676,0.0001369628252
0.0027,2.618033989,2.791021228,0.0001729872395
0.00272,2.541026486,2.749355438,0.0002083289523
0.00274,2.457937255,2.700785741,0.0002428484858
0.00276,2.369094212,2.645503819,0.0002764096073
0.00278,2.274847979,2.583727846,0.0003088798664
0.0028,2.175570505,2.515701622,0.0003401311178
0.00282,2.07165359,2.441693617,0.000370040027
0.00284,1.963507348,2.361995905,0.0003984885573
0.00286,1.851558583,2.276923018,0.0004253644353
0.00288,1.736249105,2.1868107,0.0004505615942
0.0029,1.618033989,2.092014581,0.0004739805924
0.00292,1.497379774,1.99290878,0.0004955290057
0.00294,1.374762629,1.889884422,0.0005151217923
0.00296,1.250666467,1.783348096,0.0005326816287
0.00298,1.125581039,1.673720253,0.0005481392139
0.003,1,1.561433544,0.0005614335442
0.00302,0.8744189609,1.446931114,0.0005725121527
0.00304,0.7493335329,1.33066485,0.0005813313173
0.00306,0.6252373708,1.213093604,0.0005878562328
0.00308,0.5026202257,1.094681374,0.0005920611483
0.0031,0.3819660113,0.9758954802,0.0005939294689
0.00312,0.2637508946,0.8572047159,0.0005934538213
0.00314,0.1484414169,0.7390774994,0.0005906360825
0.00316,0.0364926518,0.6219800248,0.000585487373
0.00318,-0.07165358996,0.5063744223,0.0005780280123
0.0032,-0.1755705046,0.3927169345,0.0005682874391
0.00322,-0.2748479795,0.2814561155,0.000556304095
0.00324,-0.3690942119,0.173031061,0.0005421252728
0.00326,-0.4579372548,0.06786967499,0.0005258069298
0.00328,-0.5410264856,-0.03361301843,0.0005074134671
0.0033,-0.6180339887,-0.1310165135,0.0004870174753
0.00332,-0.688655851,-0.2239564031,0.0004646994479
0.00334,-0.7526133601,-0.3120658959,0.0004405474642
0.00336,-0.8096541049,-0.3949972641,0.0004146568409
0.00338,-0.8595529718,-0.4724232154,0.0003871297564
0.0034,-0.9021130326,-0.5440381849,0.0003580748477
0.00342,-0.9371663223,-0.6095595411,0.0003276067811
0.00344,-0.9645745015,-0.6687287012,0.0002958458003
0.00346,-0.9842294026,-0.7213121514,0.0002629172512
0.00348,-0.9960534569,-0.767102369,0.0002289510879
0.0035,-1,-0.8059186408,0.0001940813592
0.00352,-0.9960534569,-0.8376077768,0.00015844568
0.00354,-0.9842294026,-0.8620447145,0.0001221846882
0.00356,-0.9645745015,-0.8791330123,8.544148916e-05
0.00358,-0.9371663223,-0.8888052306,4.836109163e-05
0.0036,-0.9021130326,-0.8910231976,1.108983497e-05
0.00362,-0.8595529718,-0.88577816,-2.62251882e-05
0.00364,-0.8096541049,-0.8730908175,-6.343671254e-05
0.00366,-0.7526133601,-0.8530112412,-0.0001003978812
0.00368,-0.688655851,-0.8256186762,-0.0001369628252
0.0037,-0.6180339887,-0.7910212283,-0.0001729872395
0.00372,-0.5410264856,-0.7493554378,-0.0002083289523
0.00374,-0.4579372548,-0.7007857407,-0.0002428484858
0.00376,-0.3690942119,-0.6455038192,-0.0002764096073
0.00378,-0.2748479795,-0.5837278459,-0.0003088798664
0.0038,-0.1755705046,-0.5157016224,-0.0003401311178
0.00382,-0.07165358996,-0.441693617,-0.000370040027
0.00384,0.0364926518,-0.3619959055,-0.0003984885573
0.00386,0.1484414169,-0.2769230184,-0.0004253644353
0.00388,0.2637508946,-0.1868106996,-0.0004505615942
0.0039,0.3819660113,-0.09201458112,-0.0004739805924
0.00392,0.5026202257,0.007091220011,-0.0004955290057
0.00394,0.6252373708,0.1101155785,-0.0005151217923
0.00396,0.7493335329,0.2166519042,-0.0005326816287
0.00398,0.8744189609,0.326279747,-0.0005481392139
0.004,1,0.4385664558,-0.0005614335442
0.00402,1.125581039,0.5530688864,-0.0005725121527
0.00404,1.250666467,0.6693351498,-0.0005813313173
0.00406,1.374762629,0.7869063964,-0.0005878562328
0.00408,1.497379774,0.905318626,-0.0005920611483
0.0041,1.618033989,1.02410452,-0.0005939294689
0.00412,1.736249105,1.142795284,-0.0005934538213
0.00414,1.851558583,1.260922501,-0.0005906360825
0.00416,1.963507348,1.378019975,-0.000585487373
0.00418,2.07165359,1.493625578,-0.0005780280123
0.0042,2.175570505,1.607283065,-0.0005682874391
0.00422,2.274847979,1.718543884,-0.000556304095
0.00424,2.369094212,1.826968939,-0.0005421252728
0.00426,2.457937255,1.932130325,-0.0005258069298
0.00428,2.541026486,2.033613018,-0.0005074134671
0.0043,2.618033989,2.131016513,-0.0004870174753
0.00432,2.688655851,2.223956403,-0.0004646994479
0.00434,2.75261336,2.312065896,-0.0004405474642
0.00436,2.809654105,2.394997264,-0.0004146568409
0.00438,2.859552972,2.472423215,-0.0003871297564
0.0044,2.902113033,2.544038185,-0.0003580748477
0.00442,2.937166322,2.609559541,-0.0003276067811
0.00444,2.964574501,2.668728701,-0.0002958458003
0.00446,2.984229403,2.721312151,-0.0002629172512
0.00448,2.996053457,2.767102369,-0.0002289510879
0.0045,3,2.805918641,-0.0001940813592
0.00452,2.996053457,2.837607777,-0.00015844568
0.00454,2.984229403,2.862044714,-0.0001221846882
0.00456,2.964574501,2.879133012,-8.544148916e-05
0.00458,2.937166322,2.888805231,-4.836109163e-05
0.0046,2.902113033,2.891023198,-1.108983497e-05
0.00462,2.859552972,2.88577816,2.62251882e-05
0.00464,2.809654105,2.873090817,6.343671254e-05
0.00466,2.75261336,2.853011241,0.0001003978812
0.00468,2.688655851,2.825618676,0.0001369628252
0.0047,2.618033989,2.791021228,0.0001729872395
0.00472,2.541026486,2.749355438,0.0002083289523
0.00474,2.457937255,2.700785741,0.0002428484858
0.00476,2.369094212,2.645503819,0.0002764096073
0.00478,2.274847979,2.583727846,0.0003088798664
0.0048,2.175570505,2.515701622,0.0003401311178
0.00482,2.07165359,2.441693617,0.000370040027
0.00484,1.963507348,2.361995906,0.0003984885573
0.00486,1.851558583,2.276923018,0.0004253644353
0.00488,1.736249105,2.1868107,0.0004505615942
0.0049,1.618033989,2.092014581,0.0004739805924
0.00492,1.497379774,1.99290878,0.0004955290057
0.00494,1.374762629,1.889884422,0.0005151217923
0.00496,1.250666467,1.783348096,0.0005326816287
0.00498,1.125581039,1.673720253,0.0005481392139
0.005,1,1.561433544,0.0005614335442
0.00502,0.8744189609,1.446931114,0.0005725121527
0.00504,0.7493335329,1.33066485,0.0005813313173
0.00506,0.6252373708,1.213093604,0.0005878562328
0.00508,0.5026202257,1.094681374,0.0005920611483
0.0051,0.3819660113,0.9758954802,0.0005939294689
0.00512,0.2637508946,0.8572047159,0.0005934538213
0.00514,0.1484414169,0.7390774994,0.0005906360825
0.00516,0.0364926518,0.6219800248,0.000585487373
0.00518,-0.07165358996,0.5063744223,0.0005780280123
0.0052,-0.1755705046,0.3927169345,0.0005682874391
0.00522,-0.2748479795,0.2814561155,0.000556304095
0.00524,-0.3690942119,0.173031061,0.0005421252728
0.00526,-0.4579372548,0.06786967499,0.0005258069298
0.00528,-0.5410264856,-0.03361301843,0.0005074134671
0.0053,-0.6180339887,-0.1310165135,0.0004870174753
0.00532,-0.688655851,-0.2239564031,0.0004646994479
0.00534,-0.7526133601,-0.3120658959,0.0004405474642
0.00536,-0.8096541049,-0.3949972641,0.0004146568409
0.00538,-0.8595529718,-0.4724232154,0.0003871297564
0.0054,-0.9021130326,-0.5440381849,0.0003580748477
0.00542,-0.9371663223,-0.6095595411,0.0003276067811
0.00544,-0.9645745015,-0.6687287012,0.0002958458003
0.00546,-0.9842294026,-0.7213121514,0.0002629172512
0.00548,-0.9960534569,-0.767102369,0.0002289510879
0.0055,-1,-0.8059186408,0.0001940813592
0.00552,-0.9960534569,-0.8376077768,0.00015844568
0.00554,-0.9842294026,-0.8620447145,0.0001221846882
0.00556,-0.9645745015,-0.8791330123,8.544148916e-05
0.00558,-0.9371663223,-0.8888052306,4.836109163e-05
0.0056,-0.9021130326,-0.8910231976,1.108983497e-05
0.00562,-0.8595529718,-0.88577816,-2.62251882e-05
0.00564,-0.8096541049,-0.8730908175,-6.343671254e-05
0.00566,-0.7526133601,-0.8530112412,-0.0001003978812
0.00568,-0.688655851,-0.8256186762,-0.0001369628252
0.0057,-0.6180339887,-0.7910212283,-0.0001729872395
